ticker,Earnings/Share,P. Close,old_PE_Ratio,calculated_PE_Ratio
AAN,-4.162,56.44,NA,-13.56078808265257
ABG,8.17,100.22,12.697674,12.266829865361077
ADNT,-5.494,17.39,NA,-3.1652712049508556
AEO,-0.634,11.4,NA,-17.98107255520505
AGS,-1.723,3.91,NA,-2.269297736506094
ANF,-2.927,11.13,NA,-3.802528185855825
APEI,0.858,31.84,36.713287,37.10955710955711
ATGE,-1.578,32.03,NA,-20.297845373891
AXL,-11.455,7.47,NA,-0.6521169794849411
BBBY,-4.418,12.18,NA,-2.756903576278859
BBX,-1.976,15.32,NA,-7.753036437246964
BH,-237.096,91.02,NA,-0.3838951310861423
BHA,NA,NA,NA,NA
BIG,7.054,55.71,7.8962293,7.897646725262263
BJRI,-0.757,27.19,NA,-35.918097754293264
BKE,1.958,19.28,9.846783,9.846782431052095
BOOT,1.295,27.37,21.011583,21.135135135135137
BXG,0.301,5.5,18.47176,18.272425249169437
BYD,-1.706,26.27,NA,-15.398593200468934
BZH,1.035,12.58,12.115942,12.154589371980677
CAKE,-3.242,27.09,NA,-8.355953115360888
CAL,-7.484,6.99,NA,-0.9339925173703902
CATO,-1.457,7.44,NA,-5.1063829787234045
CBRL,0.311,121.85,417.5884,391.8006430868167
CCS,4.434,38,8.491204,8.570139828597203
CHS,-2.062,1.57,NA,-0.7613967022308439
CHUY,-0.661,20.14,NA,-30.468986384266262
CLAR,0.431,12.72,29.512762,29.512761020881673
CLCT,1.19,46.63,38.773106,39.18487394957984
CNTY,-2.652,6.04,NA,-2.277526395173454
CONN,-0.668,12.37,NA,-18.517964071856284
CORE,1.313,33.83,25.780655,25.765422696115767
CPS,-18.785,16.56,NA,-0.8815544317274421
CRMT,8.004,101.48,12.644928,12.678660669665168
CSPR,-9.078,9.25,NA,-1.0189469046045385
CSV,0.289,22.2,77.923874,76.8166089965398
CTB,1.25,35.08,27.8,28.064
CTRN,0.669,18.68,27.832586,27.922272047832585
CZR,-3.218,45.99,NA,-14.291485394655066
DAN,0.555,13.84,25.009008,24.936936936936934
DBI,-2.109,6.9,NA,-3.271692745376956
DDS,-4.044,28.21,NA,-6.975766567754699
DENN,0.921,10.64,11.932682,11.552660152008686
DIN,-3.588,55.33,NA,-15.420847268673354
DLTH,0.339,8.77,26.43068,25.870206489675514
EAT,0.63,39.2,63.968254,62.22222222222223
ELA,NA,4.02,NA,NA
ELY,-1.459,20.38,NA,-13.968471555860177
ESCA,1.098,18.61,16.721312,16.948998178506372
ETH,0.34,14.66,43.294117,43.11764705882353
EVRI,-0.974,7.32,NA,-7.515400410677619
EXPR,-4.722,1.08,NA,-0.22871664548919948
EYE,-0.364,38.23,NA,-105.02747252747253
FNKO,-0.301,5.79,NA,-19.235880398671096
FOSL,-2.784,5.57,NA,-2.000718390804598
FRG,NA,24.47,NA,NA
FRGI,-2.287,10.44,NA,-4.564932225623087
GAN,NA,21.33,NA,NA
GCO,-5.439,17.43,NA,-3.2046332046332044
GDEN,-4.601,12.51,NA,-2.718974136057379
GES,-0.613,11.27,NA,-18.38499184339315
GIII,1.907,10.47,5.8363924,5.490298898793918
GME,-8.246,5.11,NA,-0.6196943972835314
GOLF,0.78,35.8,45.525642,45.89743589743589
GPI,7.867,88.5,11.3474,11.249523325282826
GPRO,-0.636,4.69,NA,-7.374213836477988
GRBK,1.608,15,9.303482,9.328358208955223
GRPN,-7.944,31.88,NA,-4.0130916414904325
GT,-6.919,9.8,NA,-1.4163896516837695
HBB,2.181,20.45,9.417699,9.376432828977533
HEAR,1.409,19.91,13.89638,14.130589070262598
HIBB,-0.913,29.46,NA,-32.26725082146769
HMHC,-3.531,2.07,NA,-0.5862361937128292
HOFT,-1.68,23.5,NA,-13.988095238095239
HOME,-9.163,18.84,NA,-2.0560951653388626
HUD,-1.629,7.56,NA,-4.640883977900552
HVT,1.42,22.15,15.485916,15.598591549295774
HZO,2.536,30.67,11.746846,12.093848580441641
IGT,-2.895,11.16,NA,-3.854922279792746
JACK,3.086,83.91,27.384966,27.190537913156188
JOUT,4.32,83.83,19.29398,19.40509259259259
KBH,3.229,36.84,11.20161,11.409104986063797
KRUS,0.098,12.12,119.4898,123.67346938775509
KTB,0.128,21.86,178.35936,170.78125
LAD,11.839,253.84,21.0609,21.441000084466594
LAKE,1.539,22.36,14.561403,14.528914879792072
LAUR,-1.136,12.48,NA,-10.985915492957748
LCUT,-2.909,9.54,NA,-3.2794774836713647
LE,0.167,12.54,75.08982,75.08982035928143
LEGH,1.259,14.82,11.763305,11.771247021445593
LL,1.116,26.88,22.320787,24.08602150537634
LOCO,0.543,17.28,32.504604,31.823204419889503
LQDT,-0.431,8.37,NA,-19.4199535962877
LRN,0.6,39.17,62.833332,65.28333333333335
LZB,1.384,32.98,24.039019,23.829479768786126
M,-10.174,6.51,NA,-0.6398663259288382
MCRI,0.704,45.49,64.971596,64.61647727272728
MDC,4.076,44.41,10.878311,10.895485770363102
MGNI,NA,7.675,NA,NA
MHO,5.734,44.81,7.638646,7.8147889780258115
MIK,1.138,11.09,9.490334,9.745166959578208
MNRO,1.132,45.82,40.10601,40.477031802120145
MOD,-0.371,6.9,NA,-18.598382749326145
MOV,-4.813,10.88,NA,-2.2605443590276337
MPAA,-0.222,17.73,NA,-79.86486486486487
MTH,8.645,100.68,11.388084,11.646038172353963
NATH,2.876,52.56,18.275383,18.275382475660642
NBEV,-1.164,2.11,NA,-1.8127147766323024
NDLS,-0.37,8.24,NA,-22.27027027027027
NLS,-0.283,12.22,NA,-43.180212014134284
ODP,-5.167,22.9,NA,-4.431972130830269
OSTK,-1.026,109.52,NA,-106.74463937621832
OSW,-3.635,6.37,NA,-1.752407152682256
OXM,-1.196,47.63,NA,-39.824414715719065
PENN,-7.363,55.18,NA,-7.494227896237946
PLAY,0.434,14.1,34.723503,32.48847926267281
PLCE,-6.308,18.905,NA,-2.9969879518072293
PRTS,-0.713,15.04,NA,-21.09396914446003
PZZA,0.383,97.49,254.93474,254.54308093994777
QUOT,-0.624,9.31,NA,-14.919871794871796
RCII,2.852,31.91,11.230715,11.188639551192146
RCKY,1.935,23.33,12.025841,12.056847545219638
RGR,2.637,74.92,27.648844,28.411073189230187
RGS,-2.83,8.32,NA,-2.939929328621908
RICK,-0.307,18.01,NA,-58.66449511400652
RRGB,-18.319,9.43,NA,-0.5147660898520662
RRR,-3.425,17.42,NA,-5.0861313868613145
SAH,-2.172,41.61,NA,-19.15745856353591
SBH,0.959,11.82,12.168926,12.32533889468196
SCVL,0.889,27.36,32.058495,30.776152980877388
SEAS,-1.461,19.65,NA,-13.449691991786446
SFIX,-0.152,23.98,NA,-157.76315789473685
SGC,1.668,23.32,14.322542,13.980815347721823
SGMS,-4.182,20.82,NA,-4.9784791965566715
SHOO,0.445,20.15,46.80899,45.28089887640449
SIG,-2.213,17,NA,-7.681879801174875
SMP,2.018,45.65,22.789892,22.621407333994057
SNBR,2.716,45.73,17.09131,16.837260677466862
SRI,-0.271,20.7,NA,-76.38376383763837
SWBI,NA,19.875,NA,NA
TACO,-6.068,8.58,NA,-1.4139749505603165
TAST,-0.632,6.6,NA,-10.443037974683543
TCS,0.039,3.94,101.53846,101.02564102564102
TEN,-17.66,8.46,NA,-0.4790486976217441
TH,-0.008,1.44,NA,-180
TLYS,0.152,6.1,39.013157,40.13157894736842
TMHC,1.336,25.03,18.188623,18.73502994011976
TPH,1.98,17.86,8.767677,9.02020202020202
TUP,-0.161,13.83,NA,-85.90062111801242
UEIC,2.104,42.82,20.413498,20.35171102661597
UFI,-3.1,12.56,NA,-4.051612903225807
URBN,-0.296,25.25,NA,-85.30405405405406
UTI,0.062,7.22,115.96774,116.45161290322581
VAC,-2.66,89.73,NA,-33.733082706766915
VOXX,-1.378,6.78,NA,-4.920174165457185
VRA,-0.109,4.73,NA,-43.39449541284404
VSTO,-1.691,20.32,NA,-12.016558249556475
VVNT,NA,17.63,NA,NA
WEYS,0.781,18.1,23.27785,23.175416133162614
WINA,7.566,158.8,20.726938,20.988633359767384
WKHS,-1.968,17.43,NA,-8.856707317073171
WW,1.208,23.25,20.521524,19.246688741721854
WWW,0.702,24.61,35.954414,35.05698005698006
ZUMZ,1.772,26.22,15.079007,14.796839729119638
